leaid,leaname,fips,stateabb,ses,meangs,mnenrol,top100
3620580,New York City Public Schools,36,NY,-0.526788378,-0.203390951,70988.04688,1
622710,Los Angeles Unified,6,CA,-0.27206438,-1.477414337,48871.32422,1
1709930,City Of Chicago SD 299,17,IL,-0.754714492,-0.885797029,28901.01172,1
1200390,Dade,12,FL,-0.661674159,0.012608249,26231.13281,1
3200060,Clark County School District,32,NV,-0.05035042,-0.584483879,24809.38867,1
1200180,Broward,12,FL,-0.015868715,0.326840706,19201.95508,1
4823640,Houston ISD,48,TX,-0.788036757,-0.503960107,16763.70898,1
1200870,Hillsborough,12,FL,-0.090057317,0.051100336,14754.61133,1
4218990,Philadelphia City SD,42,PA,-1.490503693,-1.528278099,14420.89453,1
1500030,Hawaii Department Of Education,15,HI,0.597809627,-0.371701486,13707.08301,1
1201440,Orange,12,FL,-0.133195935,0.084362847,13408.22266,1
5101260,Fairfax CO Pblc Schs,51,VA,1.752471996,1.107949996,13205.42188,1
4816230,Dallas ISD,48,TX,-0.666105646,-1.037318586,13197.75586,1
1201500,Palm Beach,12,FL,0.204540052,0.317945567,13150.74414,1
3704720,Wake County Schools,37,NC,0.946980445,1.053853569,12037.67676,1
4700148,Shelby County Public Schools,47,TN,-0.715244174,-1.206291417,11616.16895,1
3702970,Charlotte-Mecklenburg Schools,37,NC,0.262045713,0.427093142,11346.85449,1
2400480,Montgomery County Public Schools,24,MD,1.443759174,1.065146547,10641.60254,1
634320,San Diego Unified,6,CA,0.459659043,-0.452798088,9604.666992,1
1200480,Duval,12,FL,-0.26131545,-0.149079354,9162.494141,1
2400510,Prince George'S County Public Schools,24,MD,0.307290268,-1.000396463,8893.988281,1
4816110,Cypress-Fairbanks ISD,48,TX,0.893121643,0.630251546,8333.395508,1
1301290,Cobb County,13,GA,0.750337753,0.523571606,8330.864258,1
2400120,Baltimore County Public Schools,24,MD,0.646160133,0.28927003,7755.693359,1
4833120,Northside ISD,48,TX,0.433085614,0.208023406,7572.837402,1
1201560,Pinellas,12,FL,0.0606315,0.027333847,7501.447266,1
1301740,Dekalb County,13,GA,-0.427900112,-1.116512478,7402.833496,1
3500060,Albuquerque Public Schools,35,NM,-0.042108791,-0.876037902,7370.305664,1
2612000,Detroit City School District,26,MI,-3.505849468,-2.485316732,7249.842285,1
1201590,Polk,12,FL,-0.412594241,-0.423774398,7127.024414,1
1302280,Fulton County,13,GA,0.671072264,0.50298104,7039.34375,1
4808940,Austin ISD,48,TX,0.291947137,0.005086911,6517.546387,1
4819700,Fort Worth ISD,48,TX,-0.763709012,-1.108057853,6343.186035,1
5103130,Prince Wm CO Pblc Schs,51,VA,1.231653192,0.487017645,6272.328125,1
1201080,Lee,12,FL,0.018900118,0.198548545,6181.333496,1
804800,Jefferson County School District No. R-1,8,CO,1.004237155,1.151211562,6168.906738,1
803360,School District No. 1 In The County Of Denver And State Of C,8,CO,0.226153938,-0.566730636,6160.813965,1
622500,Long Beach Unified,6,CA,-0.161609904,-0.830565739,6130.216309,1
5509600,Milwaukee School District,55,WI,-1.629546104,-2.0810425,5858.478516,1
4703180,Davidson County SD,47,TN,-0.193642504,-1.092692451,5822.62207,1
4900030,Alpine District,49,UT,1.121202004,0.744908153,5805.048828,1
2400090,Baltimore City Public Schools,24,MD,-1.362523035,-1.784011782,5739.637695,1
3701920,Guilford County Schools,37,NC,-0.162437714,0.089626648,5699.229004,1
2400060,Anne Arundel County Public Schools,24,MD,1.141884029,0.970525411,5691.26123,1
404970,Mesa Unified District,4,AZ,-0.023454677,-0.167083248,5607.694824,1
614550,Fresno Unified,6,CA,-1.730861803,-1.912765049,5543.162109,1
4900360,Granite District,49,UT,0.292067061,-0.866529978,5535.966797,1
4502310,Greenville 01,45,SC,0.125248524,-0.006435533,5501.822754,1
4819650,Fort Bend ISD,48,TX,1.043169665,0.800895279,5420.581543,1
5102250,Loudoun CO Pblc Schs,51,VA,1.968662292,1.14175114,5291.375,1
4832940,North East ISD,48,TX,0.579923596,0.332474973,5284.12793,1
5103840,Va Beach City Pblc Schs,51,VA,0.752395292,0.569310428,5251.0625,1
1200150,Brevard,12,FL,0.093874724,0.771042995,5167.727051,1
1201530,Pasco,12,FL,-0.084363549,0.058810639,5059.05957,1
3200480,Washoe County School District,32,NV,0.240504777,-0.094181902,4977.902832,1
4825170,Katy ISD,48,TX,1.38411076,1.244710409,4977.744141,1
4808700,Arlington ISD,48,TX,-0.097744854,-0.346256196,4913.290527,1
4807710,Aldine ISD,48,TX,-1.340163909,-0.682281526,4893.418457,1
803450,"Douglas County School District, No. Re 1",8,CO,1.88123034,1.760527652,4807.75,1
612330,Elk Grove Unified,6,CA,0.162090147,-0.424584841,4753.918945,1
1100030,District Of Columbia Public Schools,11,DC,-0.156668223,-1.527594984,4656.084961,1
408800,Tucson Unified District,4,AZ,-0.591892623,-1.147499263,4603.92627,1
4818300,El Paso ISD,48,TX,-0.767537031,-0.191570425,4585.709473,1
1201920,Volusia,12,FL,-0.177892839,-0.016833007,4552.333496,1
3904380,Columbus City,39,OH,-1.156183856,-1.821846471,4465.799805,1
5100840,Chesterfield CO Pblc Schs,51,VA,0.915997169,0.641196035,4436.515625,1
4820340,Garland ISD,48,TX,0.119808166,0.088055957,4409.720703,1
102370,Mobile County,1,AL,-0.68159579,-0.828694316,4384.979004,1
2502790,Boston,25,MA,-0.470385673,-0.202268799,4356.333496,1
4900420,Jordan District,49,UT,1.161775967,0.278413947,4340.82959,1
4702220,Knox County School District,47,TN,0.32338986,0.022144495,4338.891602,1
635310,Santa Ana Unified,6,CA,-0.329562745,-1.57640464,4293.811035,1
3701500,Forsyth County Schools,37,NC,-0.121663078,-0.021572126,4241.125,1
4838730,San Antonio ISD,48,TX,-1.656714876,-1.408380434,4201.593262,1
634170,San Bernardino City Unified,6,CA,-1.63562495,-1.941697557,4115.60791,1
1201470,Osceola,12,FL,-0.563655034,-0.340709777,4089.471191,1
1301230,Clayton County,13,GA,-1.25755981,-1.287890955,4053,1
4834320,Pasadena ISD,48,TX,-0.639671612,-0.458822254,4039.825684,1
4827300,Lewisville ISD,48,TX,1.291880626,0.953897185,4032.104736,1
802910,"Cherry Creek, School District No. 5, In The County Of Arapah",8,CO,1.200727617,1.361973311,4029.0271,1
634410,San Francisco Unified,6,CA,1.078986844,-0.274172483,4026.527832,1
4815000,Conroe ISD,48,TX,0.971172753,1.10466077,4023.790771,1
609850,Corona-Norco Unified,6,CA,0.795844311,-0.119605729,4018.438477,1
607440,Capistrano Unified,6,CA,1.576353544,0.865894384,3952.418945,1
3904378,Cleveland Municipal,39,OH,-2.794262758,-2.169023542,3912.610596,1
2400420,Howard County Public Schools,24,MD,1.733015716,1.730052476,3891.772705,1
3700011,Cumberland County Schools,37,NC,-0.657423434,-0.203852168,3888.416748,1
1300120,Atlanta Public Schools,13,GA,-0.691808181,-1.057983658,3842.260498,1
4811680,Brownsville ISD,48,TX,-1.842129719,-0.390437606,3807.779053,1
3174820,Omaha Public Schools,31,NE,-0.210049711,-1.214895258,3682.230713,1
200180,Anchorage School District,2,AK,0.775262855,-0.110742964,3614.107178,1
614880,Garden Grove Unified,6,CA,0.021670673,-0.205436403,3609.946045,1
633840,Sacramento City Unified,6,CA,-0.477827871,-1.119960867,3609.689209,1
628050,Oakland Unified,6,CA,-0.198899407,-1.536223071,3607.328369,1
4807830,Alief ISD,48,TX,-0.917899214,-0.519174203,3601.093018,0
3411340,Newark,34,NJ,-2.144981166,-0.983745349,3584.574951,0
4838080,Round Rock ISD,48,TX,1.20221287,1.361458514,3543.523193,0
4825740,Klein ISD,48,TX,0.983303597,0.62610346,3529.558105,0
2012990,Wichita,20,KS,-0.401270704,-1.042454581,3468.869141,0
2200840,Jefferson Parish,22,LA,-0.155180771,-1.038467201,3441.59375,0
401870,Chandler Unified District,4,AZ,1.054396948,0.979565601,3420.916748,0
5307710,Seattle Public Schools,53,WA,1.017736421,1.078629763,3411.283447,0
634620,San Juan Unified,6,CA,0.081373818,-0.687460761,3410.946045,0
4820010,Frisco ISD,48,TX,1.790302077,2.044779398,3390.302246,0
1201230,Manatee,12,FL,0.090019473,-0.189638837,3358.094238,0
2200540,East Baton Rouge Parish,22,LA,-0.361529797,-1.452055031,3353.947998,0
